T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,9.17344339163619,-17.307286553191897,9637.754180508224,3.0446750841640194e-08,1.580218871340339,True,8,The solution converged.,2.5112833680256943e-18
190.0,30000.0,1.0,-5.273352930935086,0.005126393282345247,9.198278832380897,-17.282341522652953,9880.109091995431,3.121579804601622e-08,1.5803036599248057,True,10,The solution converged.,1.3749365735951455e-18
190.0,30000.0,1.0,-5.2483884953221365,0.005255981617054892,9.223114296863974,-17.257396484328936,10128.558599721548,3.200427067912229e-08,1.5803884485538746,True,7,The solution converged.,4.954333802822322e-18
190.0,30000.0,1.0,-5.2234240597091866,0.00538884577076006,9.247949785078003,-17.23245143822264,10383.25597291335,3.281265941571617e-08,1.580473237227531,True,7,The solution converged.,4.023097477595638e-18
190.0,30000.0,1.0,-5.198459624096237,0.00552506855176379,9.272785297015556,-17.207506384336853,10644.35833541857,3.3641467324862146e-08,1.58055802594576,True,7,The solution converged.,3.6925932237346694e-18
190.0,30000.0,1.0,-5.173495188483287,0.005664734861651773,9.297620832669212,-17.18256132267437,10912.026762650908,3.4491210183011224e-08,1.5806428147085465,True,7,The solution converged.,7.532643849065503e-18
190.0,30000.0,1.0,-5.148530752870337,0.005807931748207713,9.322456392031555,-17.15761625323798,11186.426380973195,3.536241679499079e-08,1.5807276035158764,True,7,The solution converged.,4.698711203693149e-18
190.0,30000.0,1.0,-5.123566317257387,0.005954748459666339,9.34729197509517,-17.132671176030474,11467.726469580135,3.625562932310119e-08,1.5808123923677344,True,7,The solution converged.,7.77065857480306e-18
190.0,30000.0,1.0,-5.098601881644437,0.006105276500337843,9.372127581852645,-17.107726091054637,11756.1005649436,3.717140362452711e-08,1.5808971812641062,True,7,The solution converged.,5.8595485005098666e-18
190.0,30000.0,1.0,-5.073637446031487,0.00625960968763844,9.396963212296574,-17.082780998313254,12051.726567884823,3.811030959727052e-08,1.5809819702049768,True,7,The solution converged.,4.61565472345779e-18
190.0,30000.0,1.0,-5.048673010418537,0.006417844210562584,9.421798866419556,-17.057835897809113,12354.78685333963,3.9072931534822615e-08,1.5810667591903314,True,7,The solution converged.,9.363608931317748e-18
190.0,30000.0,1.0,-5.023708574805587,0.006580078689633269,9.446634544214186,-17.032890789544997,12665.468382884332,4.0059868489795386e-08,1.5811515482201557,True,7,The solution converged.,2.4362307516045232e-18
190.0,30000.0,1.0,-4.998744139192637,0.006746414238367819,9.471470245673066,-17.007945673523686,12983.96282009188,4.107173464673791e-08,1.5812363372944345,True,7,The solution converged.,5.354123436115256e-18
190.0,30000.0,1.0,-4.973779703579687,0.006916954526297419,9.496305970788805,-16.98300054974796,13310.466648789481,4.210915970437061e-08,1.5813211264131533,True,7,The solution converged.,9.117872303236408e-18
190.0,30000.0,1.0,-4.948815267966737,0.007091805843579725,9.521141719554013,-16.958055418220603,13645.1812942903,4.3172789267474226e-08,1.5814059155762976,True,7,The solution converged.,3.580201872937872e-18
190.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,9.545977491961297,-16.93311027894439,13988.31324767448,4.426328524867935e-08,1.5814907047838525,True,7,The solution converged.,4.220612584805382e-18
190.0,30000.0,1.0,-4.898886396740838,0.007454880229115496,9.570813288003277,-16.908165131922104,14340.074193196144,4.5381326280403745e-08,1.581575494035803,True,7,The solution converged.,9.543669899052492e-18
190.0,30000.0,1.0,-4.873921961127888,0.007643329585445212,9.595649107672571,-16.88321997715651,14700.68113889456,4.6527608137197115e-08,1.5816602833321354,True,7,The solution converged.,3.3397073980576717e-18
